eventid_count,year,country,deaths_sum,year,Country,HappinessScore,Freedom,Health_LifeExpectancy,Economy_GDPperCapita,Trust_GovernmentCorruption,country,country_code,year,Intellecutal_Property_Indicator,country,country_code,year,military_expenses
1,2015,"Trinidad and Tobago",0,2015,"Trinidad and Tobago",6.168,0.55884,0.61483,1.21183,0.0114,"Trinidad and Tobago",TTO,2015,75381069.46,"Trinidad and Tobago",TTO,2015,3.56447415579761
17,2015,Tunisia,103,2015,Tunisia,4.739,0.26268,0.73793,0.88113,0.06358,Tunisia,TUN,2015,20952016.82,Tunisia,TUN,2015,7.87620414019266
422,2015,Turkey,490,2015,Turkey,5.332,0.22815,0.73172,1.06098,0.15746,Turkey,TUR,2015,682000000,Turkey,TUR,2015,5.52539066419435
10,2015,Uganda,4,2015,Uganda,3.931,0.45727,0.33861,0.21102,0.07267,Uganda,UGA,2015,13771124.87,Uganda,UGA,2015,9.91053661416971
637,2015,Ukraine,765,2015,Ukraine,4.681,0.25123,0.6739,0.79907,0.02961,Ukraine,UKR,2015,358000000,Ukraine,UKR,2015,9.23079798910904
114,2015,"United Kingdom",1,2015,"United Kingdom",6.867,0.59625,0.90943,1.26637,0.32066999999999996,"United Kingdom",GBR,2015,11421937285,"United Kingdom",GBR,2015,4.69108640027038
38,2015,"United States",54,2015,"United States",7.119,0.54604,0.86179,1.39451,0.1589,"United States",USA,2015,40609000000,"United States",USA,2015,9.35480940332285
1,2015,Uzbekistan,0,2015,Uzbekistan,6.003,0.65821,0.59772,0.63244,0.30826,Uzbekistan,UZB,2015,NULL,Uzbekistan,UZB,2015,NULL
1617,2016,Afghanistan,6142,2016,Afghanistan,3.36,0.1643,0.17344,0.38227,0.07112,Afghanistan,AFG,2016,36802.95,Afghanistan,AFG,2016,3.6802510519657
2,2016,Albania,0,2016,Albania,4.655,0.31866,0.73007,0.9553,0.05301,Albania,ALB,2016,23157888.57,Albania,ALB,2016,1.18561906096052
9,2016,Algeria,9,2016,Algeria,6.355,0.21006,0.61804,1.05266,0.16157,Algeria,DZA,2016,152897904.4,Algeria,DZA,2016,15.1455872292954
2,2016,Angola,0,2016,Angola,3.866,0.00589,0.04991,0.84731,0.08434,Angola,AGO,2016,212229720,Angola,AGO,2016,12.5259891598916
2,2016,Argentina,0,2016,Argentina,6.65,0.42284,0.69711,1.15137,0.07296,Argentina,ARG,2016,2108388364,Argentina,ARG,2016,1.99404774382659
2,2016,Armenia,6,2016,Armenia,4.36,0.14037,0.64083,0.86086,0.036160000000000005,Armenia,ARM,2016,NULL,Armenia,ARM,2016,15.1226623240176
9,2016,Australia,0,2016,Australia,7.313,0.56837,0.8512,1.44443,0.32331,Australia,AUS,2016,3318284382,Australia,AUS,2016,5.58639434797594
3,2016,Austria,0,2016,Austria,7.119,0.54355,0.80565,1.45038,0.21348000000000003,Austria,AUT,2016,1466234419,Austria,AUT,2016,1.46190345476648
2,2016,Azerbaijan,1,2016,Azerbaijan,5.291,0.35327,0.54504,1.12373,0.17914000000000002,Azerbaijan,AZE,2016,NULL,Azerbaijan,AZE,2016,10.427622344905
3,2016,Bahrain,1,2016,Bahrain,6.218,0.47375,0.65696,1.44024,0.25772,Bahrain,BHR,2016,NULL,Bahrain,BHR,2016,13.3352414605418
88,2016,Bangladesh,76,2016,Bangladesh,4.643,0.39778,0.52989,0.54177,0.12583,Bangladesh,BGD,2016,46541986.24,Bangladesh,BGD,2016,10.6865244176427
6,2016,Belgium,36,2016,Belgium,6.929,0.51354,0.81959,1.42539,0.26248,Belgium,BEL,2016,2755631068,Belgium,BEL,2016,1.73288437960873
